Process_Code,Field_Order,Field_Key,Field_Label,Field_Type,Required,Lookup_Source,Validation_Rule,Default_Source,Notes
TERMINATION,4,reason_details,Reason details,text,Yes,,Max 500 chars,,Specific controlled explanation.
TERMINATION,5,note,HR note,text,No,,Max 500 chars,,Audit note.
FINAL_SETTLEMENT,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must have a valid separation action,,Employee remains one of the same 720 source employees in the demo layer.
FINAL_SETTLEMENT,2,separation_action_record_id,Separation reference,action_record_lookup,Yes,HR_Action_Records.csv,Process must be RESIGNATION | RETIREMENT | TERMINATION | CONTRACT_END and not withdrawn,,Prevents detached settlement records.
FINAL_SETTLEMENT,3,effective_date,Settlement due date,date,Yes,,On or after separation effective date,,Operational due date; not a payroll calculation date.
FINAL_SETTLEMENT,4,settlement_status,Settlement status,enum,Yes,,PENDING | IN_REVIEW | READY | COMPLETED,PENDING,Workflow status only.
FINAL_SETTLEMENT,5,clearance_status,Clearance status,enum,Yes,,PENDING | PARTIAL | CLEARED,PENDING,Aggregated HR/asset clearance state.
FINAL_SETTLEMENT,6,note,HR note,text,No,,Max 500 chars,,Payroll values will be integrated later from the Payroll module.
PROMOTION,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
PROMOTION,2,effective_date,Promotion effective date,date,Yes,,Future/current effective date,,Controls when core assignment changes.
PROMOTION,3,target_position_id,Target approved position,position_lookup,Yes,Position_Master.csv,"Position must be Approved=Yes, Vacant, Not Frozen; higher Job_Level",,Validated server-side.
PROMOTION,4,promotion_reason,Promotion reason,enum,Yes,,MERIT | ROLE_EXPANSION | ANNUAL_CYCLE,,Patterns follow existing movement history.
PROMOTION,5,note,HR note,text,No,,Max 500 chars,,Audit note.
TRANSFER,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Must exist in current 720 Employee_ID set,,Reuse existing employee lookup; never create a second employee master.
TRANSFER,2,effective_date,Transfer effective date,date,Yes,,Future/current effective date,,Controls when source/target headcount changes.
TRANSFER,3,target_department_id,Target department,department_lookup,Yes,Department_Master.csv,Must be active and different from current department,,Validated server-side.
TRANSFER,4,target_position_id,Target approved position,position_lookup,Yes,Position_Master.csv,"Approved=Yes, Vacant, Not Frozen; compatible job level",,Validated server-side.
TRANSFER,5,transfer_reason,Transfer reason,enum,Yes,,WORKFORCE_BALANCING | EMPLOYEE_REQUEST | BUSINESS_REQUIREMENT | CAREER_DEVELOPMENT,,Patterns follow existing movement history.
TRANSFER,6,note,HR note,text,No,,Max 500 chars,,Audit note.
ACTING_CHARGE,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Active employee only,,Keeps primary assignment.
ACTING_CHARGE,2,effective_date,Charge start date,date,Yes,,Valid action date,,Temporary start.
ACTING_CHARGE,3,target_position_id,Acting / additional position,position_lookup,Yes,Position_Master.csv,Approved position; preferably vacant; same or higher level,,Does not permanently fill the target position.
ACTING_CHARGE,4,charge_type,Charge type,enum,Yes,,ACTING | ADDITIONAL_CHARGE,,Acting replaces duties temporarily; additional charge adds duties.
ACTING_CHARGE,5,end_date,Expected end date,date,Yes,,Must be after effective_date,,Temporary end.
ACTING_CHARGE,6,allowance_applicable,Allowance applicable,boolean,Yes,,Yes/No,No,Stored only; allowance calculation belongs to Payroll later.
ACTING_CHARGE,7,note,HR note,text,No,,Max 500 chars,,Audit note.
DEMOTION,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Current level above target level,,Action is auditable and effective-dated.
DEMOTION,2,effective_date,Demotion effective date,date,Yes,,Valid action date,,Core impact only on effective date.
DEMOTION,3,target_position_id,Lower-level position,position_lookup,Yes,Position_Master.csv,Approved + budgeted + vacant + not frozen; lower level than current,,Prefer same department.
DEMOTION,4,demotion_reason,Reason,enum,Yes,,PERFORMANCE_MANAGEMENT | ROLE_REALIGNMENT | DISCIPLINARY_OUTCOME,,No discipline workflow is implemented in this phase.
DEMOTION,5,note,HR note,text,No,,Max 500 chars,,Audit note.
SECONDMENT,1,employee_id,Employee,employee_lookup,Yes,Employee_Profile.csv,Active employee; no conflicting permanent movement,,Home assignment remains.
SECONDMENT,2,effective_date,Secondment start date,date,Yes,,Valid action date,,Temporary host start.
SECONDMENT,3,target_department_id,Host department,department_lookup,Yes,Department_Master.csv,Must differ from current department,,Temporary host unit.
SECONDMENT,4,target_position_id,Host position,position_lookup,Yes,Position_Master.csv,Approved position; suitable job level; host department match,,Does not permanently close home assignment.
SECONDMENT,5,expected_return_date,Expected return date,date,Yes,,Must be after effective_date,,Secondment duration control.
SECONDMENT,6,secondment_reason,Reason,enum,Yes,,PROJECT_SUPPORT | CAPABILITY_TRANSFER | TEMPORARY_COVER | DEVELOPMENT_ASSIGNMENT,,Structured reason.
SECONDMENT,7,note,HR note,text,No,,Max 500 chars,,Audit note.
