Performance_Template_ID,Department_ID,Department,Role_Band,KPI_ID,KPI_Name,KPI_Group,KPI_Weight_pct,Measurement_Scope,Scoring_Direction,Floor_Value,Target_Value,Stretch_Value,Mandatory_Flag,Critical_KPI_Flag,Effective_Start_Date,Effective_End_Date,Active_Status
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-HR-001,HR Service and Recruitment Target Achievement,OUTPUT,25,Individual + Mentoring,HIGHER_BETTER,70,100,115,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-HR-002,HR Data and Payroll Accuracy,QUALITY,20,Individual + Mentoring,HIGHER_BETTER,97,99.5,100,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-HR-003,Employee Case Resolution Time,EFFICIENCY,15,Individual + Mentoring,LOWER_BETTER,10,5,2,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-LEAD-MENTOR,Mentoring and Knowledge Transfer,MENTORING,15,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,5,Individual + Mentoring,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,8,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-SENIOR,DEPARTMENT-001,HR,Senior/Lead,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-HR-001,HR Service and Recruitment Target Achievement,OUTPUT,25,Team/Department,HIGHER_BETTER,70,100,115,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-HR-002,HR Data and Payroll Accuracy,QUALITY,15,Team/Department,HIGHER_BETTER,97,99.5,100,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-HR-003,Employee Case Resolution Time,EFFICIENCY,10,Team/Department,LOWER_BETTER,10,5,2,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-LEAD-TEAM,Team Leadership and Development,LEADERSHIP,25,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,3,Team/Department,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-HR-MANAGER,DEPARTMENT-001,HR,Manager/Head,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-FIN-001,Reporting and Reconciliation Target Achievement,OUTPUT,15,Individual,HIGHER_BETTER,75,100,112,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,QUALITY,15,Individual,HIGHER_BETTER,97,99.5,100,Yes,Yes,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-FIN-003,Financial Reporting Turnaround Time,EFFICIENCY,10,Individual,LOWER_BETTER,7,4,2,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,15,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,15,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-INTERN,DEPARTMENT-002,Finance,Intern/Trainee,KPI-COM-LEARN,Learning and Adaptability,LEARNING,20,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-FIN-001,Reporting and Reconciliation Target Achievement,OUTPUT,25,Individual,HIGHER_BETTER,75,100,112,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,QUALITY,20,Individual,HIGHER_BETTER,97,99.5,100,Yes,Yes,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-FIN-003,Financial Reporting Turnaround Time,EFFICIENCY,15,Individual,LOWER_BETTER,7,4,2,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,10,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-JUNIOR,DEPARTMENT-002,Finance,Junior/Assistant,KPI-COM-LEARN,Learning and Adaptability,LEARNING,10,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-FIN-001,Reporting and Reconciliation Target Achievement,OUTPUT,30,Individual,HIGHER_BETTER,75,100,112,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,QUALITY,25,Individual,HIGHER_BETTER,97,99.5,100,Yes,Yes,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-FIN-003,Financial Reporting Turnaround Time,EFFICIENCY,20,Individual,LOWER_BETTER,7,4,2,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,8,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,7,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,5,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-PROFESSIONAL,DEPARTMENT-002,Finance,Professional/Mid-level,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-FIN-001,Reporting and Reconciliation Target Achievement,OUTPUT,25,Individual + Mentoring,HIGHER_BETTER,75,100,112,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,QUALITY,20,Individual + Mentoring,HIGHER_BETTER,97,99.5,100,Yes,Yes,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-FIN-003,Financial Reporting Turnaround Time,EFFICIENCY,15,Individual + Mentoring,LOWER_BETTER,7,4,2,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-LEAD-MENTOR,Mentoring and Knowledge Transfer,MENTORING,15,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,5,Individual + Mentoring,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,8,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-SENIOR,DEPARTMENT-002,Finance,Senior/Lead,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-FIN-001,Reporting and Reconciliation Target Achievement,OUTPUT,25,Team/Department,HIGHER_BETTER,75,100,112,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,QUALITY,15,Team/Department,HIGHER_BETTER,97,99.5,100,Yes,Yes,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-FIN-003,Financial Reporting Turnaround Time,EFFICIENCY,10,Team/Department,LOWER_BETTER,7,4,2,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-LEAD-TEAM,Team Leadership and Development,LEADERSHIP,25,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,3,Team/Department,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-FIN-MANAGER,DEPARTMENT-002,Finance,Manager/Head,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-SAL-001,Sales Target Achievement,OUTPUT,15,Individual,HIGHER_BETTER,70,100,120,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-SAL-002,Collection Achievement,QUALITY,15,Individual,HIGHER_BETTER,75,95,108,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-SAL-003,Lead Conversion and Customer Retention Score,EFFICIENCY,10,Individual,HIGHER_BETTER,65,85,95,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,15,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,15,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-INTERN,DEPARTMENT-003,Sales,Intern/Trainee,KPI-COM-LEARN,Learning and Adaptability,LEARNING,20,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-SAL-001,Sales Target Achievement,OUTPUT,25,Individual,HIGHER_BETTER,70,100,120,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-SAL-002,Collection Achievement,QUALITY,20,Individual,HIGHER_BETTER,75,95,108,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-SAL-003,Lead Conversion and Customer Retention Score,EFFICIENCY,15,Individual,HIGHER_BETTER,65,85,95,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,10,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-JUNIOR,DEPARTMENT-003,Sales,Junior/Assistant,KPI-COM-LEARN,Learning and Adaptability,LEARNING,10,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-SAL-001,Sales Target Achievement,OUTPUT,30,Individual,HIGHER_BETTER,70,100,120,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-SAL-002,Collection Achievement,QUALITY,25,Individual,HIGHER_BETTER,75,95,108,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-SAL-003,Lead Conversion and Customer Retention Score,EFFICIENCY,20,Individual,HIGHER_BETTER,65,85,95,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,8,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,7,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,5,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-PROFESSIONAL,DEPARTMENT-003,Sales,Professional/Mid-level,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-SAL-001,Sales Target Achievement,OUTPUT,25,Individual + Mentoring,HIGHER_BETTER,70,100,120,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-SAL-002,Collection Achievement,QUALITY,20,Individual + Mentoring,HIGHER_BETTER,75,95,108,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-SAL-003,Lead Conversion and Customer Retention Score,EFFICIENCY,15,Individual + Mentoring,HIGHER_BETTER,65,85,95,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-LEAD-MENTOR,Mentoring and Knowledge Transfer,MENTORING,15,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,5,Individual + Mentoring,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,8,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Individual + Mentoring,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-SENIOR,DEPARTMENT-003,Sales,Senior/Lead,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Individual + Mentoring,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-SAL-001,Sales Target Achievement,OUTPUT,25,Team/Department,HIGHER_BETTER,70,100,120,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-SAL-002,Collection Achievement,QUALITY,15,Team/Department,HIGHER_BETTER,75,95,108,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-SAL-003,Lead Conversion and Customer Retention Score,EFFICIENCY,10,Team/Department,HIGHER_BETTER,65,85,95,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-LEAD-TEAM,Team Leadership and Development,LEADERSHIP,25,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,3,Team/Department,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,10,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,7,Team/Department,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-SAL-MANAGER,DEPARTMENT-003,Sales,Manager/Head,KPI-COM-LEARN,Learning and Adaptability,LEARNING,5,Team/Department,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-CS-001,Ticket Resolution Target Achievement,OUTPUT,15,Individual,HIGHER_BETTER,75,100,115,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-CS-002,First Contact Resolution and Case Quality,QUALITY,15,Individual,HIGHER_BETTER,70,85,95,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-CS-003,Support SLA Compliance,EFFICIENCY,10,Individual,HIGHER_BETTER,80,92,98,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-COM-ATT,Attendance and Punctuality,ATTENDANCE,15,Individual,HIGHER_BETTER,90.0,95.0,99.0,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-COM-RESP,Responsibility and Deadline Discipline,RESPONSIBILITY,15,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-COM-TEAM,Teamwork and Professional Communication,TEAMWORK,10,Individual,HIGHER_BETTER,65.0,85.0,95.0,Yes,No,2025-09-01,,Active
PT-CS-INTERN,DEPARTMENT-004,Customer Support,Intern/Trainee,KPI-COM-LEARN,Learning and Adaptability,LEARNING,20,Individual,HIGHER_BETTER,60.0,82.0,95.0,Yes,No,2025-09-01,,Active
PT-CS-JUNIOR,DEPARTMENT-004,Customer Support,Junior/Assistant,KPI-CS-001,Ticket Resolution Target Achievement,OUTPUT,25,Individual,HIGHER_BETTER,75,100,115,Yes,No,2025-09-01,,Active
PT-CS-JUNIOR,DEPARTMENT-004,Customer Support,Junior/Assistant,KPI-CS-002,First Contact Resolution and Case Quality,QUALITY,20,Individual,HIGHER_BETTER,70,85,95,Yes,No,2025-09-01,,Active
