Vacancy_Record_ID,Position_ID,Position_Title,Department_ID,Department_Name,Organizational_Unit_ID,Vacancy_Start_Date,Vacancy_End_Date,Vacancy_Status,Vacancy_Age_in_Days,Budgeted_Position,Position_Criticality,Recruitment_Stage,Target_Fill_Date,Vacancy_Reason,Expected_Time_to_Fill_in_Days,Actual_Time_to_Fill_in_Days,Data_As_Of_Date
VACANCY-0043,POS-747,Senior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-12-01,,Currently Open,243,No,High,Offer Stage,2026-03-31,Internal transfer,120,,2026-08-01
VACANCY-0044,POS-748,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2025-09-01,,Currently Open,334,No,High,Offer Stage,2025-12-30,Retirement,120,,2026-08-01
VACANCY-0045,POS-749,Training Coordinator,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN,2025-05-01,,Currently Open,457,Yes,Medium,Offer Stage,2025-09-28,Retirement,150,,2026-08-01
VACANCY-0046,POS-750,Learning and Development Specialist,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN,2026-06-01,,Currently Open,61,Yes,Medium,Sourcing Candidates,2026-10-29,Employee resignation,150,,2026-08-01
VACANCY-0047,POS-751,Procurement Assistant,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC,2025-09-01,,Currently Open,334,Yes,Medium,Offer Stage,2026-01-29,Workforce expansion,150,,2026-08-01
VACANCY-0048,POS-752,Procurement Officer,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC,2026-02-01,,Currently Open,181,No,Medium,Offer Stage,2026-07-01,New approved position,150,,2026-08-01
VACANCY-0049,POS-753,Senior Procurement Specialist,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC,2026-05-01,,Currently Open,92,Yes,High,Interview Stage,2026-08-29,New approved position,120,,2026-08-01
VACANCY-0050,POS-754,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2025-02-01,,Currently Open,546,Yes,Medium,Offer Stage,2025-07-01,Workforce expansion,150,,2026-08-01
VACANCY-0051,POS-755,Logistics Coordinator,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2026-01-01,,Currently Open,212,Yes,Medium,Offer Stage,2026-05-31,Workforce expansion,150,,2026-08-01
VACANCY-0052,POS-756,Senior Logistics Officer,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,Workforce expansion,120,,2026-08-01
VACANCY-0053,POS-757,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2026-02-01,,Currently Open,181,Yes,Medium,Offer Stage,2026-07-01,New approved position,150,,2026-08-01
VACANCY-0054,POS-758,Logistics Coordinator,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2025-03-01,,Currently Open,518,No,Medium,Offer Stage,2025-07-29,Internal transfer,150,,2026-08-01
VACANCY-0055,POS-759,Logistics Manager,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2025-12-01,,Currently Open,243,Yes,High,Offer Stage,2026-03-31,New approved position,120,,2026-08-01
VACANCY-0056,POS-760,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2025-12-01,,Currently Open,243,No,Medium,Position Frozen,2026-04-30,New approved position,150,,2026-08-01
VACANCY-0057,POS-761,Logistics Coordinator,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG,2026-07-01,,Currently Open,31,No,Medium,Sourcing Candidates,2026-11-28,Employee resignation,150,,2026-08-01
VACANCY-0058,POS-762,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2026-04-01,,Currently Open,122,Yes,High,Interview Stage,2026-07-30,Retirement,120,,2026-08-01
VACANCY-0059,POS-763,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-11-01,,Currently Open,273,Yes,High,Offer Stage,2026-03-01,Employee resignation,120,,2026-08-01
VACANCY-0060,POS-764,Senior Production Supervisor,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,New approved position,120,,2026-08-01
VACANCY-0061,POS-765,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-07-01,,Currently Open,396,Yes,High,Offer Stage,2025-10-29,Workforce expansion,120,,2026-08-01
VACANCY-0062,POS-766,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,New approved position,120,,2026-08-01
VACANCY-0063,POS-767,Production Manager,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-11-01,,Currently Open,273,Yes,High,Offer Stage,2026-03-01,Internal transfer,120,,2026-08-01
VACANCY-0064,POS-768,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-02-01,,Currently Open,546,Yes,High,Position Frozen,2025-06-01,Workforce expansion,120,,2026-08-01
VACANCY-0065,POS-769,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2026-02-01,,Currently Open,181,No,High,Offer Stage,2026-06-01,New approved position,120,,2026-08-01
VACANCY-0066,POS-770,Senior Production Supervisor,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-12-01,,Currently Open,243,No,High,Offer Stage,2026-03-31,Workforce expansion,120,,2026-08-01
VACANCY-0067,POS-771,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2026-06-01,,Currently Open,61,No,High,Sourcing Candidates,2026-09-29,New approved position,120,,2026-08-01
VACANCY-0068,POS-772,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2025-11-01,,Currently Open,273,No,High,Offer Stage,2026-03-01,Internal transfer,120,,2026-08-01
VACANCY-0069,POS-773,Quality Inspector,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS,2026-07-01,,Currently Open,31,Yes,Medium,Sourcing Candidates,2026-11-28,Workforce expansion,150,,2026-08-01
VACANCY-0070,POS-774,Quality Analyst,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS,2025-05-01,,Currently Open,457,Yes,Medium,Offer Stage,2025-09-28,Workforce expansion,150,,2026-08-01
VACANCY-0071,POS-775,Senior Quality Engineer,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS,2026-06-01,,Currently Open,61,Yes,High,Sourcing Candidates,2026-09-29,Employee resignation,120,,2026-08-01
VACANCY-0072,POS-776,Quality Inspector,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS,2026-01-01,,Currently Open,212,Yes,Medium,Offer Stage,2026-05-31,Workforce expansion,150,,2026-08-01
VACANCY-0073,POS-777,Quality Analyst,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS,2025-09-01,,Currently Open,334,No,Medium,Offer Stage,2026-01-29,New approved position,150,,2026-08-01
VACANCY-0074,POS-778,Research Associate,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2026-06-01,,Currently Open,61,Yes,Medium,Sourcing Candidates,2026-10-29,Internal transfer,150,,2026-08-01
VACANCY-0075,POS-779,Research Analyst,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2026-06-01,,Currently Open,61,Yes,Medium,Sourcing Candidates,2026-10-29,Retirement,150,,2026-08-01
VACANCY-0076,POS-780,Senior Research Scientist,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2026-03-01,,Currently Open,153,Yes,High,Offer Stage,2026-06-29,Workforce expansion,120,,2026-08-01
VACANCY-0077,POS-781,Research Associate,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2025-07-01,,Currently Open,396,Yes,Medium,Offer Stage,2025-11-28,Employee resignation,150,,2026-08-01
VACANCY-0078,POS-782,Research Analyst,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2025-07-01,,Currently Open,396,No,Medium,Offer Stage,2025-11-28,Workforce expansion,150,,2026-08-01
VACANCY-0079,POS-783,Research and Development Manager,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2026-02-01,,Currently Open,181,Yes,High,Offer Stage,2026-06-01,Retirement,120,,2026-08-01
VACANCY-0080,POS-784,Research Associate,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2026-05-01,,Currently Open,92,No,Medium,Position Frozen,2026-09-28,New approved position,150,,2026-08-01
VACANCY-0081,POS-137,Customer Support Representative,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-03,2025-12-02,2026-02-10,Filled,70,Yes,Medium,Position Filled,2026-04-01,Retirement,120,70,2026-02-10
VACANCY-0082,POS-325,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-03,2024-06-03,2024-09-11,Filled,100,Yes,Medium,Position Filled,2024-10-01,Employee resignation,120,100,2024-09-11
VACANCY-0083,POS-091,Senior Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2024-07-18,2024-10-12,Filled,86,Yes,High,Position Filled,2024-11-15,Employee resignation,120,86,2024-10-12
VACANCY-0084,POS-100,Senior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-02,2025-07-21,2025-09-08,Filled,49,Yes,High,Position Filled,2025-11-18,Promotion,120,49,2025-09-08
VACANCY-0085,POS-136,HR Generalist,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-02,2025-04-15,2025-09-20,Filled,158,Yes,Medium,Position Filled,2025-08-13,Retirement,120,158,2025-09-20
VACANCY-0086,POS-507,Procurement Officer,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC-TEAM-03,2024-07-10,2024-10-19,Filled,101,Yes,Medium,Position Filled,2024-11-07,Promotion,120,101,2024-10-19
VACANCY-0087,POS-168,Support Team Lead,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-01,2024-09-07,2025-02-22,Filled,168,Yes,Medium,Position Filled,2025-01-05,Retirement,120,168,2025-02-22
VACANCY-0088,POS-510,Procurement Officer,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC-TEAM-01,2024-08-28,2024-09-20,Filled,23,Yes,Medium,Position Filled,2024-12-26,Retirement,120,23,2024-09-20
VACANCY-0089,POS-149,Operations Analyst,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,2025-07-28,2025-11-23,Filled,118,Yes,Medium,Position Filled,2025-11-25,Internal transfer,120,118,2025-11-23
VACANCY-0090,POS-390,Training Coordinator,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-01,2025-05-23,2025-07-15,Filled,53,Yes,Medium,Position Filled,2025-09-20,Internal transfer,120,53,2025-07-15
VACANCY-0091,POS-338,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-02,2024-11-20,2025-01-18,Filled,59,Yes,Medium,Position Filled,2025-03-20,Promotion,120,59,2025-01-18
VACANCY-0092,POS-702,Research Intern,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND-TEAM-03,2025-03-01,2025-04-23,Filled,53,Yes,Medium,Position Filled,2025-06-29,Employee resignation,120,53,2025-04-23
VACANCY-0093,POS-538,Senior Logistics Officer,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-02,2025-06-30,2025-08-18,Filled,49,Yes,High,Position Filled,2025-10-28,Promotion,120,49,2025-08-18
VACANCY-0094,POS-536,Senior Logistics Officer,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-02,2025-10-18,2025-12-12,Filled,55,Yes,High,Position Filled,2026-02-15,Promotion,120,55,2025-12-12
VACANCY-0095,POS-639,Quality Analyst,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS-TEAM-01,2025-12-31,2026-05-20,Filled,140,Yes,Medium,Position Filled,2026-04-30,Retirement,120,140,2026-05-20
VACANCY-0096,POS-134,Systems Administrator,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT-TEAM-03,2025-09-03,2026-01-09,Filled,128,Yes,Medium,Position Filled,2026-01-01,Internal transfer,120,128,2026-01-09
VACANCY-0097,POS-242,Accounts Assistant,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-03,2025-02-25,2025-06-06,Filled,101,Yes,Medium,Position Filled,2025-06-25,Promotion,120,101,2025-06-06
VACANCY-0098,POS-097,Sales Executive,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL-TEAM-02,2026-03-06,2026-06-05,Filled,91,Yes,Low,Position Filled,2026-07-04,Promotion,120,91,2026-06-05
VACANCY-0099,POS-316,Senior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-02,2025-05-17,2025-08-06,Filled,81,Yes,High,Position Filled,2025-09-14,Internal transfer,120,81,2025-08-06
VACANCY-0100,POS-423,Administration Officer,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-03,2024-11-11,2024-12-18,Filled,37,Yes,Medium,Position Filled,2025-03-11,Internal transfer,120,37,2024-12-18
VACANCY-0101,POS-204,Senior HR Business Partner,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-03,2025-08-30,2026-01-17,Filled,140,Yes,High,Position Filled,2025-12-28,Retirement,120,140,2026-01-17
VACANCY-0102,POS-224,HR Intern,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-02,2026-04-03,2026-06-17,Filled,75,Yes,Medium,Position Filled,2026-08-01,Promotion,120,75,2026-06-17
VACANCY-0103,POS-343,Junior Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-02,2024-11-23,2025-04-13,Filled,141,Yes,Medium,Position Filled,2025-03-23,Internal transfer,120,141,2025-04-13
VACANCY-0104,POS-138,Software Engineer II,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2025-10-05,2025-11-17,Filled,43,Yes,Medium,Position Filled,2026-02-02,Employee resignation,120,43,2025-11-17
VACANCY-0105,POS-604,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-02,2024-07-17,2024-10-15,Filled,90,Yes,Medium,Position Filled,2024-11-14,Retirement,120,90,2024-10-15
VACANCY-0106,POS-160,Senior Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-02-17,2026-04-19,Filled,61,Yes,High,Position Filled,2026-06-17,Internal transfer,120,61,2026-04-19
VACANCY-0107,POS-574,Production Manager,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD,2024-11-24,2025-01-12,Filled,49,Yes,High,Position Filled,2025-03-24,Promotion,120,49,2025-01-12
VACANCY-0108,POS-484,Legal Intern,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-02,2025-05-26,2025-10-20,Filled,147,Yes,Medium,Position Filled,2025-09-23,Employee resignation,120,147,2025-10-20
VACANCY-0109,POS-261,Customer Support Intern,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-01,2025-10-03,2026-03-10,Filled,158,Yes,Medium,Position Filled,2026-01-31,Internal transfer,120,158,2026-03-10
VACANCY-0110,POS-313,Medical Care Manager,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,2026-03-09,2026-06-07,Filled,90,Yes,High,Position Filled,2026-07-07,Employee resignation,120,90,2026-06-07
VACANCY-0111,POS-190,HR Officer,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-02,2026-01-20,2026-06-22,Filled,153,Yes,Low,Position Filled,2026-05-20,Retirement,120,153,2026-06-22
VACANCY-0112,POS-305,IT Support Technician,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT-TEAM-01,2025-06-19,2025-10-23,Filled,126,Yes,Medium,Position Filled,2025-10-17,Employee resignation,120,126,2025-10-23
VACANCY-0113,POS-414,Administration Officer,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-02,2025-05-27,2025-08-06,Filled,71,Yes,Medium,Position Filled,2025-09-24,Internal transfer,120,71,2025-08-06
VACANCY-0114,POS-232,Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2024-12-22,2025-06-07,Filled,167,Yes,Medium,Position Filled,2025-04-21,Promotion,120,167,2025-06-07
VACANCY-0115,POS-131,Systems Administrator,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT-TEAM-03,2025-02-18,2025-06-10,Filled,112,Yes,Medium,Position Filled,2025-06-18,Retirement,120,112,2025-06-10
